right_hand_wrist_x,right_hand_wrist_y,right_hand_wrist_z,right_hand_thumb_cmc_x,right_hand_thumb_cmc_y,right_hand_thumb_cmc_z,right_hand_thumb_mcp_x,right_hand_thumb_mcp_y,right_hand_thumb_mcp_z,right_hand_thumb_ip_x,right_hand_thumb_ip_y,right_hand_thumb_ip_z,right_hand_thumb_tip_x,right_hand_thumb_tip_y,right_hand_thumb_tip_z,right_hand_index_finger_mcp_x,right_hand_index_finger_mcp_y,right_hand_index_finger_mcp_z,right_hand_index_finger_pip_x,right_hand_index_finger_pip_y,right_hand_index_finger_pip_z,right_hand_index_finger_dip_x,right_hand_index_finger_dip_y,right_hand_index_finger_dip_z,right_hand_index_finger_tip_x,right_hand_index_finger_tip_y,right_hand_index_finger_tip_z,right_hand_middle_finger_mcp_x,right_hand_middle_finger_mcp_y,right_hand_middle_finger_mcp_z,right_hand_middle_finger_pip_x,right_hand_middle_finger_pip_y,right_hand_middle_finger_pip_z,right_hand_middle_finger_dip_x,right_hand_middle_finger_dip_y,right_hand_middle_finger_dip_z,right_hand_middle_finger_tip_x,right_hand_middle_finger_tip_y,right_hand_middle_finger_tip_z,right_hand_ring_finger_mcp_x,right_hand_ring_finger_mcp_y,right_hand_ring_finger_mcp_z,right_hand_ring_finger_pip_x,right_hand_ring_finger_pip_y,right_hand_ring_finger_pip_z,right_hand_ring_finger_dip_x,right_hand_ring_finger_dip_y,right_hand_ring_finger_dip_z,right_hand_ring_finger_tip_x,right_hand_ring_finger_tip_y,right_hand_ring_finger_tip_z,right_hand_pinky_mcp_x,right_hand_pinky_mcp_y,right_hand_pinky_mcp_z,right_hand_pinky_pip_x,right_hand_pinky_pip_y,right_hand_pinky_pip_z,right_hand_pinky_dip_x,right_hand_pinky_dip_y,right_hand_pinky_dip_z,right_hand_pinky_tip_x,right_hand_pinky_tip_y,right_hand_pinky_tip_z
-611.2618094703546,3693.326094624411,14.477143047538103,-573.8570065097925,3688.000731646115,-1.1712860858764211,-552.3645313817524,3690.028283710615,-30.231287337491928,-541.4380655493352,3692.818535839409,-58.594951580134484,-531.0794646925632,3691.4315169521797,-79.40954383723525,-579.2984970168593,3673.365553909626,-61.813195864713094,-559.096778205887,3683.7511304629093,-96.36057671693342,-542.322203642342,3695.1369473018767,-110.46736943368411,-530.2972931259309,3703.415964154368,-116.8321821574241,-601.7024082806824,3696.868637144519,-69.10420406144002,-580.0063969518071,3709.558400730525,-102.47118300225516,-560.9036695757788,3718.410859763836,-114.9592413523895,-546.6763205737451,3726.8894650872794,-119.77101397880222,-616.1043022397172,3715.1045225992775,-71.32399990402202,-595.9439244865002,3727.9040095340597,-102.739789989726,-577.2720629334353,3735.8222817744786,-113.52317088966811,-563.0812591995307,3743.4400365602596,-117.85925253163177,-623.2582066048872,3728.004428923624,-69.69515358820912,-608.6456098272304,3741.633151000824,-97.60891510208297,-592.9684400488468,3748.0357666327254,-107.57254132816234,-579.5873971776358,3754.915138166167,-111.35758347438647
-614.6734414999704,3693.935507720632,9.988313223481057,-575.7655758701768,3691.718384406295,-2.147720595817298,-551.764910249607,3694.07084403853,-30.04121563286975,-541.069782452882,3698.574543172843,-59.23584777701522,-530.9199437091484,3698.6237896688936,-81.12030792566631,-574.2108460252473,3670.3375100540184,-61.291783911259536,-556.1682678764481,3679.1820516271764,-97.60103127453034,-541.7835671565883,3690.8361326444683,-112.5031903907996,-532.5723695757094,3703.1094141434305,-119.95722559438904,-598.6778248703858,3690.5536548808054,-68.71657447252836,-579.9310812308872,3705.1888909358463,-103.98320451174786,-563.1163021016813,3716.5819324014437,-117.35265726889794,-551.555857338723,3730.1707536910853,-122.90712352666027,-614.759106967444,3707.1121103485834,-70.91185129298744,-596.3706942312593,3720.1651028423694,-103.6682925776442,-579.6974609310693,3729.7030622135194,-115.39442560087252,-567.8281194843245,3741.538257768316,-120.6765425060111,-623.311531746768,3718.7331249741655,-69.6430224937531,-608.9787617887265,3730.859671261333,-98.12706523957499,-593.6809118277066,3737.552616092063,-109.63409125594681,-581.5537229724479,3746.806316777571,-115.268136955705
-616.4017557629585,3695.7035044769764,7.584207972595007,-576.4641123261732,3693.8005774919875,-2.5299681952025703,-551.4453259164897,3696.605245412751,-29.63888963146793,-541.0551708270516,3702.4411106883667,-59.16782152324337,-530.6645344942374,3702.6979256469717,-81.5357062703328,-572.0964238063916,3668.937774310161,-60.70156214842106,-554.5123342439881,3677.3769776761133,-97.34738276281111,-540.886542668259,3688.4766248710093,-112.38856502642457,-532.6845225313537,3701.879308499065,-120.46803112091271,-597.2096712412405,3687.6482584440423,-68.435360488009,-579.3396290938239,3702.626230238668,-104.12124377632361,-563.2339277534946,3714.683261939862,-117.77308831582931,-552.731004809238,3729.961275671702,-123.83596864435856,-613.8402142384239,3703.4995373037636,-70.74377631881282,-596.0062579904916,3716.155858370492,-103.74540370723686,-580.0108483287138,3725.9886478280146,-115.59473659586921,-569.1987564652909,3739.1022662934056,-121.30143533504766,-622.9394312280178,3714.8595396427368,-69.66858339845174,-608.9208774873553,3726.1860546920016,-98.16813431318289,-593.782968923806,3732.8325883412494,-109.93893832017143,-582.2457264056148,3742.577043030944,-116.05306697573972
-616.6656999828614,3697.9919877284324,7.166939146994027,-576.1572414033524,3694.163697050757,-2.4191653746747783,-551.394546442087,3697.433278956509,-29.21309458185932,-541.1432165232944,3703.809599392377,-58.589574271337405,-530.2620857689872,3703.213975657058,-80.9528371336405,-572.9683680175232,3669.578380036102,-60.25806973431287,-554.0023487693095,3678.031826917326,-95.85510711638312,-539.9171647065843,3688.4140900313646,-110.53108884421393,-531.3687703695372,3700.8279906707453,-118.83846108775211,-597.6657861467356,3688.815932981583,-68.43226134106251,-578.6216453411316,3702.527315248617,-103.17562015166297,-561.9944053812698,3713.992015387738,-116.72798073935864,-551.0716220260864,3728.0075812198957,-123.18701536730966,-613.8093060143851,3704.889828974241,-70.97127714035973,-595.1547285206245,3716.5649644639498,-103.29842834459058,-578.7612684595606,3725.768185385807,-114.82946255110171,-567.6926784928547,3737.443913700504,-120.7383749174424,-622.3117232676213,3716.37876486177,-69.93831502314026,-608.1322748100263,3727.3833213051676,-97.94091310219703,-592.954195509337,3733.764758484244,-109.09817125838342,-581.2403295408018,3742.1310279488885,-114.80783306850893
-616.5822088302234,3699.034852683351,7.13625985168147,-575.7279608897223,3693.629497691822,-2.3870053365122903,-551.338313708229,3697.194254683738,-29.113012009335137,-540.9542679094401,3703.3967738555325,-58.230500786459466,-529.9758117630881,3702.242619967985,-80.52371835212816,-574.4730449858145,3671.122154428514,-60.25024236096919,-553.8503286141479,3679.035673510555,-94.72986023011438,-539.5122968818665,3689.5312418112285,-109.10162490677756,-530.780363276907,3701.322682144601,-117.47308438253509,-598.9698682545722,3691.703528737472,-68.74657780872651,-578.4877269403681,3703.9932473617623,-102.4602681465489,-561.4511428671882,3715.2476681460453,-116.00914858056996,-549.8719927864176,3727.822874643501,-122.7974444752789,-614.5850150386065,3708.2547383770025,-71.46925346013467,-594.7733119481003,3719.183552725086,-103.12351496814559,-578.0447499077347,3727.9828787167125,-114.54881618408682,-566.3616584478497,3737.888355118309,-120.73580437445972,-622.0362437291896,3719.3539922499663,-70.46217165752019,-607.0958101439629,3730.093776073372,-97.89102197246551,-591.8972586788134,3736.3229359989236,-108.61232661675575,-579.7585802598169,3743.057791402974,-114.17061675433973
-616.4835932202301,3698.245028137674,6.573026541121889,-575.4738001599426,3692.771634749515,-2.6942446590835933,-551.0756648596251,3696.3928085566654,-29.33132152679695,-540.6330655356235,3702.3472465217665,-58.3485678235718,-530.227245723555,3701.843669592189,-80.60390798656904,-574.7078132046755,3671.9212051641134,-60.58698895810919,-553.868466571141,3679.449425607899,-94.9856121770542,-539.8371039323163,3690.486370380194,-109.30575152685061,-531.4329471196161,3702.583869159033,-117.56860609434065,-599.5882798289773,3693.139126192866,-69.08833390001004,-578.871485233251,3705.1600121399674,-102.57093690877451,-562.0038576598862,3716.7583533185007,-116.15122045751677,-550.338996023748,3729.2173937919943,-122.9134650957778,-615.3234191056498,3709.9725464435073,-71.83321146206247,-595.1369733181801,3720.9394459723635,-103.25060114027055,-578.6080955365608,3729.800077668035,-114.6223311558708,-566.8622814804694,3739.3956694049507,-120.80353166543807,-622.5048290542811,3720.7310892736614,-70.91011407903468,-607.0227657724361,3731.354501480889,-97.97018285670292,-591.9311927930083,3737.5572665923155,-108.55387801618224,-579.7413472258309,3743.8999405040367,-114.22396269720078
-616.20250273964,3696.986091790271,5.919540473959918,-575.3069370738045,3692.054396859785,-3.016836966882804,-550.7682818139838,3695.537897267036,-29.480283013298152,-540.5791979301661,3701.5669693907753,-58.51718137891833,-530.9225571067617,3702.266249390664,-80.62773958911981,-573.7976384523403,3671.462318614848,-60.82861082821281,-554.2401041573934,3679.8014183001633,-96.04416928631679,-540.3733630702002,3690.7020699407885,-110.39050180314254,-532.158878180935,3702.9414819975923,-118.39920562574862,-599.0405387243474,3692.0767804146735,-69.09715241386124,-579.1093708330496,3704.8709116558634,-103.00974870201054,-562.5234818228219,3716.537571422298,-116.3411779137284,-551.3462211085974,3729.8443090025035,-122.64489325660426,-615.3877194101852,3709.0021722454903,-71.77083215541526,-595.6273948999378,3720.3107190312794,-103.18010479121654,-579.4048812763813,3729.1992970042065,-114.16561439816564,-568.288113895346,3739.973500775702,-119.8435536386548,-623.5380339697697,3720.447815568777,-70.94809157135359,-608.3161933163213,3731.1047701110438,-97.87755616935256,-593.2825088971728,3737.120587682828,-108.18595732492385,-581.5095712588276,3744.369569401331,-113.63591853217584
-615.9576743044038,3696.776939867903,5.8311581327571735,-575.3871458234507,3692.1079314735593,-2.9694962244551824,-550.7768957936108,3695.425411382854,-29.28115824022501,-540.8541875216508,3701.6082836327128,-58.331540949406524,-531.4272482741536,3702.67026498051,-80.2468814360915,-572.9907812980556,3670.5375216901803,-60.71864317448803,-554.6340784017843,3680.153448606081,-96.75253875337272,-540.4390394814004,3690.234665369264,-111.10619771491817,-532.1046090019189,3702.211327087906,-118.97238909877511,-598.2325275878964,3690.2764202012545,-68.82336276530329,-578.87570078003,3703.750120187116,-103.21864177931249,-562.3550158994565,3715.214899664194,-116.06013382340613,-551.8831232856694,3729.527067272735,-121.86662297033118,-615.1406965414862,3707.3552963457178,-71.49499858113805,-595.766266527099,3718.694088752173,-102.89476255267229,-579.5337314673724,3727.3853809531565,-113.25117481527535,-569.1647987785498,3739.448723641781,-118.31610574652714,-624.5609143024238,3720.0491847544777,-70.74782160907483,-609.8514427624475,3730.554660453378,-97.76199861909686,-594.6648473428843,3736.2291127439607,-107.62446708500768,-583.3446048006191,3744.484207575492,-112.51614019732975
-616.09688622669,3697.550211936048,6.193502815491154,-575.8278810882754,3693.0641454806446,-2.6436850422525624,-551.1435287811345,3696.32023402845,-28.88298707870476,-541.1719956466677,3702.438704513708,-57.95725726816128,-531.4392172353247,3702.715521279844,-79.84441332542423,-572.8248610311599,3669.7011471654378,-60.403312907498844,-554.3017715017703,3679.439955792128,-96.78225140076692,-539.6954595833975,3688.9651417988844,-111.17022346949042,-531.367916920487,3701.055305254063,-119.12448815747243,-598.0358140389727,3689.5049739895226,-68.66988083256857,-578.2689137262515,3702.8212409113958,-103.23930858921695,-561.754201373336,3714.5675024809047,-115.65980001725865,-551.8582552517134,3729.6333962647955,-121.2488836084423,-615.2048194949177,3706.974640365892,-71.51198241211685,-595.6413828383568,3718.248970817209,-102.88385431838546,-579.238510322692,3726.8157928912556,-112.62114769158754,-569.2272973727286,3739.0518161807704,-117.27289336065421,-625.0684709605604,3720.2118900072005,-70.8856777571519,-610.3554315469764,3730.394798098133,-98.09161608482837,-594.991468192435,3736.0225731357273,-107.58364884064211,-583.8849762522548,3744.525186518187,-111.99590971112909
-616.6546032823453,3698.533780857327,6.496875543426581,-576.3609854558413,3694.2258949739653,-2.446225720860619,-551.4762895226028,3697.340821980744,-28.623915139216223,-541.2500858652265,3703.227978410273,-57.76452534885246,-531.3209080046734,3702.690678385273,-79.77597860427676,-572.8441817448319,3669.039175492359,-60.13553606509196,-553.2117914202565,3677.489241066326,-96.55967434652727,-538.5330308554786,3687.0709278447202,-111.0038251048006,-530.4803079198832,3699.816557054294,-119.08751842144873,-598.2887231779823,3689.7287339832096,-68.79634901291224,-577.5596303079371,3702.272029951362,-103.2708955402669,-561.1727482200658,3714.7358419411735,-115.56324413151401,-551.5578784554152,3730.2538305694934,-121.14889637347089,-615.577517508208,3707.662291324813,-71.90826850701299,-595.5056266138596,3718.9937027943297,-103.2368419752339,-579.1493075558785,3727.7063251500895,-112.59397221942488,-569.2312372273187,3739.467551427087,-117.02239194942379,-625.1343585525751,3720.5144757424982,-71.48336679162077,-610.0087336371727,3730.565787823808,-98.73729741815245,-594.7168434802115,3736.547920319363,-108.05924513681325,-583.7625122824162,3744.947147815491,-112.28615541393255
