nose_x,nose_y,nose_z,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_x,left_eye_y,left_eye_z,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_x,right_eye_y,right_eye_z,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,mouth_left_x,mouth_left_y,mouth_left_z,mouth_right_x,mouth_right_y,mouth_right_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_x,left_pinky_y,left_pinky_z,right_pinky_x,right_pinky_y,right_pinky_z,left_index_x,left_index_y,left_index_z,right_index_x,right_index_y,right_index_z,left_thumb_x,left_thumb_y,left_thumb_z,right_thumb_x,right_thumb_y,right_thumb_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z
-397.5527613845397,3551.6447048169175,745.7232080285402,-407.71483411232896,3570.388813688767,784.2134232574338,-408.2133641180805,3589.4239829570015,789.3847578203195,-407.4387238992193,3606.1660823615953,794.1608527530182,-422.70203382187685,3536.364163944419,776.3130010310742,-432.3805546234797,3524.389837696961,774.0773829257292,-441.8870239877185,3513.033920732879,771.8273835339786,-467.80865472904475,3677.1295000846067,792.8906050400055,-508.91692563953313,3552.3552697799714,766.8692786899354,-409.17511879368544,3594.7380901227166,723.5624145150331,-426.1397051328712,3552.620162570005,714.8802488159693,-382.3284035892991,3807.185243367396,631.7427734569745,-667.7464669443223,3647.767968688809,542.7732636797467,-313.02175459744234,3917.3746403873934,366.2541789885059,-693.5237633580622,3703.7648156910373,257.99763405119614,-236.65741687752032,3919.29148677653,117.71080034905445,-615.4833036575232,3696.1527998070956,2.034679046203726,-228.30946123264036,3942.7576664326302,34.75652267905963,-599.4240554431216,3688.7881978975697,-71.09151654531817,-231.2941893728852,3915.206976715543,35.246020426442634,-563.4835208465896,3675.843468496318,-59.72245356190644,-239.88478081660676,3897.971617717606,58.89681439213881,-559.3433275273674,3681.8591989415995,-34.73130333776217,-390.6180910131185,3893.2825742232717,80.58485470972151,-554.2238981996792,3806.0072835913465,55.95084566814111,-418.88168046382174,4027.512304501727,-269.5991120208556,-544.2997724044453,3971.419769558013,-300.0137947288696,-455.7633629612435,4183.530783252494,-609.9702803648365,-563.5302428025768,4186.391312506952,-634.7800566808586,-490.6567972600934,4253.515892907168,-656.5634988146467,-574.2892751915763,4258.907130467561,-677.7410085141918,-377.6755950470384,4115.762690190992,-736.9114280748013,-512.9117779046885,4050.244541505813,-767.8484413507554
-398.98735499628066,3551.561536928478,745.6163329924354,-409.541375475498,3572.58701996168,784.8070924648993,-410.13150732099206,3591.873596018463,790.0276338892121,-409.72215769417346,3608.586287379078,794.7276577037168,-423.2976179707879,3534.7069209748274,776.1235009118566,-433.0063365949017,3522.974245556862,773.8970001896994,-442.8597110951816,3511.999808356657,771.80596424427,-467.4681859952814,3676.225769509298,793.0304980470202,-509.10093195033284,3550.4150535533595,766.6426539092644,-413.6130663803363,3600.2581438976135,723.8630145794564,-427.7471068113219,3554.1903753704532,714.4107183554029,-382.7004556876727,3807.0003451019857,631.5704753683738,-667.3939317416272,3647.0561968841216,543.1924168192196,-312.7826720543178,3915.630458724106,367.51920760975327,-693.1631474744289,3701.448914606813,257.93955615116346,-236.68247490667403,3919.73264621145,116.18097165554394,-615.4665308505455,3696.0261146477333,1.7895385358595612,-227.90047090079213,3942.8801572778234,34.54953972305279,-601.1935350843236,3690.914044503882,-71.2571417097821,-231.29513900326748,3915.992484107399,34.725679526523685,-564.3477895165579,3677.7268313133177,-60.02678205115974,-240.35904435978117,3899.2170598425328,58.53629099907462,-559.5459874142829,3683.0660486175266,-34.37517098265987,-391.06134104286195,3894.438887090259,82.43561415184458,-555.9107993836012,3809.3145461165072,55.844365203720294,-419.0308205400432,4033.597547490334,-273.3652323867487,-546.437679375497,3976.4414180306985,-302.8852457621637,-460.31128769783106,4196.516381528019,-611.6475317994114,-561.8969729370724,4182.230028328487,-634.7662248572569,-497.8484162085156,4270.317289736672,-659.9373612590291,-573.3012007670214,4256.761909646364,-679.7477881029652,-376.7050237692291,4113.203502450961,-735.5713765583538,-512.113395113529,4051.0861230777414,-766.7361820127347
-399.981182893885,3551.3787643817755,745.5022572468617,-410.76383914827363,3574.0633507476673,785.1834517558245,-411.319021608802,3593.407677848444,790.3929830456532,-411.0533827309082,3609.9200662454878,794.9891385284236,-423.8035143441363,3533.614857150382,776.0105076867505,-433.54262165358193,3522.0646908727354,773.7899334752353,-443.7193393412337,3511.4157470714927,771.7974835387753,-467.120129955433,3675.520437158747,793.0759312414117,-509.2172013943883,3548.8776821328415,766.4537765394609,-416.4367855420576,3603.7284480366748,723.9714778939028,-428.89101052698027,3555.179963200257,714.0407824916985,-383.31458178281105,3807.53314122356,631.4885529135827,-667.1392072417756,3646.3667096289246,543.4226826252487,-312.5469576848906,3913.968557993739,368.581492411491,-692.8878175576417,3699.6355728400627,257.9847261543626,-236.6927540282364,3920.1663571140657,114.96717556630044,-615.4774013750554,3695.956977846103,1.7059794756566817,-227.48706486321504,3942.7881530065756,34.37625163669836,-602.5033277929365,3692.5870737975447,-71.31763117224891,-231.2194607825457,3916.5180898416884,34.25404467788637,-565.216618561275,3679.5344717314574,-60.20921295927171,-240.63262914111766,3900.1142341067966,58.177236402945354,-559.8995838076243,3684.28489457044,-34.06384904948521,-391.35683792169976,3895.158834590916,83.90682509654316,-556.9675260048335,3811.241805143765,55.82238599936126,-419.6754392825329,4038.6088101904943,-275.8361879840506,-547.8043727292402,3979.3025456948612,-304.5143681228897,-463.7506873174933,4205.879993624475,-612.8543268526939,-560.1630234074212,4177.825726868402,-634.3397153622886,-502.60793848559155,4281.202333220197,-662.2253794466579,-572.2048430063571,4253.884853277617,-680.8290400403462,-376.59764250571595,4112.346803759244,-734.7735264770022,-511.7340925134841,4051.8291096462117,-765.9401463758193
-400.4508347925165,3551.0263311672693,745.3563276269845,-411.3611091013683,3574.7830589857767,785.337578519295,-411.77279733934904,3594.0136733222234,790.4927472937279,-411.4571405990466,3610.2035622091607,794.9761629123904,-424.1780015994877,3533.072083681925,775.9563003752754,-433.9306284348864,3521.6396601370907,773.7419041229538,-444.3750424412608,3511.244545544261,771.7888656317149,-466.815768561709,3675.080505609805,793.0383218497245,-509.22934989528574,3547.8251436439373,766.3082960645576,-417.5022675101286,3604.942617170525,723.9021097389644,-429.47932329771623,3555.4696304019953,713.7780560889173,-384.06410367018486,3808.603273836803,631.5107956596609,-666.9978199235949,3645.8515662268255,543.4670698823594,-312.3181489976556,3912.5249634119805,369.4342629175217,-692.7184703449836,3698.4783421736365,258.17436198394404,-236.66679443192254,3920.4642813756914,114.24828707849137,-615.4704803652692,3695.8799403524517,1.7721579132541343,-226.952032471155,3942.3368942663546,34.364416462106945,-603.2085148025899,3693.545903759665,-71.24585554222777,-230.99125314829044,3916.5490510082295,34.05030778891205,-565.9018963035651,3680.9305567046504,-60.23236047149386,-240.64408816716517,3900.436591871544,57.9946862253529,-560.2472114940831,3685.2370718562424,-33.78818965654948,-391.19072221757807,3895.0152162443487,84.86349068509452,-557.2419370731247,3811.623944890347,55.87107771129264,-420.55202700917056,4042.2990363246818,-277.0380556757712,-548.2557775757872,3979.74647553734,-305.0234245730485,-465.9946528610934,4211.110659263637,-613.515389253945,-558.5187054693027,4173.477072833444,-633.5750582774473,-505.06775482872575,4285.9239425227415,-663.3222881790483,-571.100982396505,4250.319030972182,-680.961555843887,-377.40813707455777,4113.560402804489,-734.612682804775,-511.71663825191126,4052.3705684506563,-765.494584416399
-400.6155789410744,3550.5098777800144,745.1768580715798,-411.7135611101147,3575.1859388895596,785.4090394966443,-411.9712281505358,3594.276336637281,790.5211161862674,-411.5844768308715,3610.180090829401,794.9182274434677,-424.43089414242513,3532.6859513455,775.8910998625349,-434.161030853677,3521.3370044765475,773.6850173602344,-444.7998742488894,3511.149716273705,771.7533575504506,-466.5932729305599,3674.807621868826,792.9854674472635,-509.1320462241465,3547.036638367589,766.1759251950093,-417.7556878281533,3605.0634123677323,723.7970553727987,-429.7250806945583,3555.3257940038525,713.5667342627698,-384.6249089975537,3809.4530549998535,631.5699243808529,-666.9240010942689,3645.6330688446974,543.447815154732,-312.1020768690728,3911.402844118293,370.12041358146354,-692.6173620087193,3697.7894627605,258.44140835554043,-236.58587370574384,3920.492985195559,113.95642773302879,-615.3614965044201,3695.582542020612,1.860309350055178,-226.19154437765798,3941.566352396115,34.57019481495021,-603.4261323297286,3693.683101636384,-71.10598074284125,-230.59219524233652,3916.0503564309224,34.23457758342574,-566.1976682786906,3681.553195672823,-60.15345507910757,-240.47235545768228,3900.2092401924233,58.114192065782994,-560.3340432577179,3685.613580412471,-33.53260110096597,-390.3849640119753,3894.015913477832,85.40129682251889,-557.0658186177355,3811.329298376675,55.87675946801889,-421.0467042837223,4045.004282711057,-277.88185412441993,-548.2185248717524,3979.150260974103,-305.40009084653974,-467.7272074079706,4214.235439189924,-613.9720480651254,-557.2699008636059,4169.809764804471,-632.9238722568496,-506.94882240779094,4288.2857703594655,-664.0031241740794,-570.1829637142517,4246.665301787265,-680.8201940560756,-378.63078621819454,4116.067275491678,-734.8468762618294,-511.7130199393439,4052.657218855325,-765.2964956854544
-400.6889934704746,3549.9028622197784,745.0076212104191,-412.0672661247659,3575.5435173617775,785.4852495925504,-412.2044539339084,3594.5438986846557,790.5839308759286,-411.8041579868107,3610.254471715111,794.9258634552995,-424.598876581713,3532.2378435021583,775.7923667757934,-434.271673115279,3520.957430893335,773.5907300253975,-445.048768946511,3510.9682833428437,771.6867616450309,-466.44431825863455,3674.5794252691458,792.9478259851461,-508.9403934231981,3546.285947779444,766.0281317500023,-417.90935405103,3604.9800941373364,723.7305424790685,-429.84074451570564,3555.028208179467,713.3750326137651,-384.8689809977868,3809.670448023349,631.5955186796598,-666.8854005548303,3645.631491204773,543.434115240438,-311.91670284565504,3910.581162348393,370.61058969897783,-692.5428598789094,3697.309837117101,258.66896462034384,-236.4592000377686,3920.2969353907965,113.8711499260542,-615.1412005429816,3694.939495138063,1.899945266688377,-225.30673527746265,3940.709735107191,34.86656033737474,-603.34591653046,3693.100004309421,-70.97415211017145,-230.10056038657885,3915.283775119339,34.60986910824516,-566.1637177146843,3681.462019839906,-60.048733571842035,-240.2418398114984,3899.7286697747504,58.39999621009255,-560.1751909529994,3685.4831650691453,-33.31070518152784,-389.25649392678366,3892.819189973278,85.66877552276163,-556.8680041096867,3811.1787467680865,55.754097301454166,-421.03391509946755,4046.9824119174623,-278.88444440286275,-548.1412064167863,3978.7639533191486,-306.11657426078693,-469.3626572711953,4216.891337463912,-614.590028906335,-556.5025263465327,4167.172432535741,-632.6941439238775,-508.9680774526203,4290.737973449489,-664.9890009181823,-569.5385019487563,4243.503236126999,-680.925876969368,-379.83407322743227,4118.821675358221,-735.2178695625448,-511.5695662642842,4052.735159354139,-765.3104002008095
-400.7343027093209,3549.311802718676,744.8909730470584,-412.395133300601,3575.808253375349,785.5511887387122,-412.43171008414066,3594.759828391785,790.6481575443527,-412.03656576693237,3610.332728950568,794.9500125354383,-424.72115788166974,3531.8116049280075,775.6972648890289,-434.3159912404413,3520.5717907056573,773.4896032411899,-445.20332658250436,3510.783211976695,771.6160368239429,-466.37920384836144,3674.395039509567,792.9166803253207,-508.68392150971164,3545.5425833159575,765.8746911652114,-418.01803115426674,3604.8106008750988,723.6773656263424,-429.90438595523557,3554.7065156985527,713.2163833175989,-384.97506233985257,3809.4431249517716,631.5833653757807,-666.8716028467269,3645.6526267278205,543.4205159648312,-311.79189546338034,3909.953809053541,370.9479301252597,-692.4767766282729,3696.8818377270077,258.8144906839682,-236.33025554672784,3920.062872082378,113.85106197705973,-614.9159463797513,3694.1713111693816,1.9242567665570545,-224.5429207318889,3940.0136549352987,35.12528220286295,-603.178274100766,3692.2594159652076,-70.8519066541072,-229.61692352530267,3914.5895358634143,34.928754898235105,-566.0766422593631,3681.1540461725926,-59.943202136223384,-240.0323614640663,3899.352531814776,58.64824603333986,-560.01278072661,3685.231040187966,-33.124445965719254,-388.38662861010897,3892.1523336109185,85.76801580781219,-556.8383384406253,3811.3319662937706,55.54919449377575,-420.9137837155745,4048.360973117704,-279.84421879928664,-548.1520253960845,3978.7604312943195,-306.8394785341384,-470.65291095301114,4219.022176412026,-615.370835268819,-556.0727808998165,4165.488258905625,-632.766303877315,-510.424799561227,4292.798113905579,-666.284822652963,-569.1516959046174,4241.267225369036,-681.2584055823644,-380.7824348288894,4120.975617849509,-735.5305593726147,-511.4583454482089,4052.8060971541136,-765.4732493495202
-400.75158635245157,3548.870627359535,744.8311476132608,-412.6184128049158,3575.9326402346305,785.5779910624236,-412.56894571721443,3594.845523129852,790.6672255328286,-412.1655270211621,3610.3181321946468,794.9367097150126,-424.81727378218284,3531.542673267663,775.6411919515651,-434.32215586201175,3520.283321664124,773.4166504694441,-445.29838631926174,3510.6751699767387,771.5685899059354,-466.41004118200345,3674.306889177011,792.8813275482638,-508.40056475761213,3544.8969786797343,765.7460807888549,-417.9855967906887,3604.5379178879393,723.612938473142,-429.9258038630056,3554.420405127358,713.1075657055069,-385.1367873423998,3809.1184284443343,631.5737547997992,-666.8505451899358,3645.5685489203634,543.3964779401895,-311.73793218102196,3909.4116778261728,371.2861544827827,-692.4189793106444,3696.4524028900582,258.9335960383904,-236.2440237077525,3919.9254133369823,113.89380103951804,-614.7970566206669,3693.6578056117182,1.9945196182722285,-224.03875761830082,3939.5696843653277,35.367292453878356,-603.1011144614004,3691.7166031370634,-70.68175995476605,-229.1590001984466,3914.071674174609,35.18290573725633,-566.1235669244788,3681.0788591693617,-59.827588367151584,-239.8301585026077,3899.1817153700713,58.83480126494835,-559.9973404373607,3685.1615587039523,-32.94789733265463,-388.0479695679882,3892.1096538950032,85.79117701795668,-556.9182921650781,3811.5260924473882,55.387519682713645,-421.0088104698001,4049.364485942415,-280.44880629933886,-548.1900227134951,3978.7874757872114,-307.20334963784654,-471.2717504958347,4220.0822316845415,-616.0090035984489,-555.8111868380173,4164.515199940014,-632.8057525145005,-510.79034046048594,4293.563708825719,-667.369710475664,-568.927468038688,4240.092800067406,-681.5165091986222,-381.3627609895141,4122.155553459076,-735.654297430502,-511.6027962429,4053.172316800587,-765.5996138347534
-400.772537968591,3548.7024255506585,744.8213407877981,-412.74330275280386,3576.0322488227835,785.5830711166125,-412.62899655002866,3594.8750202584106,790.6499749053246,-412.2162213608055,3610.277640147584,794.8913946341243,-424.87841090083634,3531.4440947797075,775.6244625859593,-434.29249388986307,3520.101857460806,773.3776542738824,-445.3348794763737,3510.6308151402222,771.5500409068874,-466.4557957650831,3674.2499338761354,792.8296261216852,-508.14006371728385,3544.4171424837073,765.6506216147156,-417.89776753915146,3604.3583058586446,723.5625583584866,-429.928906747182,3554.2493630649483,713.0494986691234,-385.3437909984878,3808.87524066806,631.5822534823412,-666.7855318319682,3645.387564082437,543.3600489552806,-311.7220756156636,3908.894195947654,371.67963029806367,-692.3891025492073,3696.071473555104,259.086587265341,-236.2110422438667,3919.8812133189886,114.000648618962,-614.7822413716619,3693.49227167671,2.1559445373162087,-223.73747440075584,3939.3423039027293,35.644493088933245,-603.1320791948007,3691.5739643206075,-70.4341300395478,-228.68225291887495,3913.5790722940706,35.47639667799396,-566.25958161999,3681.263319373367,-59.709212970815884,-239.55168526215832,3898.982845896042,59.039258151357295,-560.0787243545652,3685.298424320011,-32.76122824598239,-388.0598837123075,3892.2485926323957,85.85708718144929,-557.0058257583946,3811.558999459752,55.361700846181435,-421.24736290936215,4050.1411506902964,-280.68159747892247,-548.2470672885328,3978.7112766706414,-307.2704446621576,-471.3476849066488,4220.22174437445,-616.2828199114392,-555.6036955948589,4163.9425994900885,-632.6280050076299,-510.48700504773865,4293.323582544377,-667.8303696106105,-568.6452855613882,4239.427607132762,-681.4639714708493,-381.6897926257731,4122.585007641528,-735.5938472078178,-511.9829514488137,4053.9042513371132,-765.5376361117277
-400.85752376533895,3548.8043009679786,744.8630211169095,-412.82524017065344,3576.2027532718103,785.6004761135407,-412.65320718033706,3594.918421509588,790.6291380877315,-412.23272497834574,3610.2233384528727,794.8333291999586,-424.892533241696,3531.412082881972,775.6246739131111,-434.2437942673896,3519.996121196852,773.3623346504296,-445.35056057034564,3510.644954056763,771.5557620591401,-466.3775730052651,3674.0244806260835,792.7431352858904,-507.96106075004263,3544.1211080238572,765.5765819870894,-417.87753834233786,3604.399132994261,723.55702831145,-429.9801304047779,3554.27563808145,713.040466772954,-385.483836991197,3808.745527663863,631.5815527995918,-666.7013920306522,3645.211003589036,543.3097547740313,-311.7053043736742,3908.435069527972,372.0172108133873,-692.4015196408922,3695.8194913999623,259.27078969551656,-236.19930890614836,3919.8559562690552,114.11212061054898,-614.7941366674479,3693.437945112811,2.4281433069112515,-223.52588387057432,3939.273933042874,35.92597659250512,-603.1476018492707,3691.4710425619587,-70.14973388122154,-228.18142050737094,3912.970560044563,35.803016136591786,-566.3586881243191,3681.4599571092153,-59.607197793983495,-239.15394161722665,3898.513526714119,59.265751431121245,-560.1615391761788,3685.5049078386937,-32.56327758301263,-388.1392259231347,3892.2535304730327,86.03322836666268,-557.0828694390268,3811.4818274075237,55.457981733170236,-421.4103452337148,4050.598786678051,-280.7227013990404,-548.3620472426636,3978.6336853070575,-307.27409418408155,-471.275855187993,4220.057073930829,-616.2915426149375,-555.3783119262475,4163.417431965742,-632.3064880949948,-510.16743594967636,4292.8512840197545,-667.7644065893221,-568.1534683931748,4238.453197051634,-681.1065553756641,-382.02314675589406,4122.693468944304,-735.4410167926359,-512.355979081742,4054.642267827973,-765.3178960501192
