Time,Amplitude_Envelope_P1,Amplitude_Envelope_P2,Filtered_ECG_P1,Filtered_ECG_P2,Filtered_Respiration_P1,Filtered_Respiration_P2,Filtered_EMG_Bicep_P1,Filtered_EMG_Tricep_P1,Filtered_EMG_Bicep_P2,Filtered_EMG_Tricep_P2,right_index_x_P1,right_index_y_P1,right_index_z_P1,right_index_x_P2,right_index_y_P2,right_index_z_P2,ConditionVision,ConditionMovement,Trial
0.0,0.0064887294597887,0.0065099223124506,75.54636208292115,63.69990268070424,0.0883691313047184,12.830142681302323,0.0036030759154734,0.0038720440168401,0.0077977301061938,0.0061431768740599,-593.109879327449,3580.663753461803,611.4726961778792,448.9069176116221,3430.1077544475547,-95.73791613645326,Vision,Movement,2
0.001,0.006489092273757881,0.00657679540448861,75.54636208292115,63.69990268070424,0.08880286643826782,12.830310609067055,0.0037430962028155573,0.004129578621030712,0.008387983012853878,0.006251413655132066,-593.172749366694,3580.871411321926,611.4976751598273,448.7965710019798,3430.0726855820644,-95.6455825264231,Vision,Movement,2
0.002,0.006489432938548001,0.006643180644351603,75.54636208292115,63.69990268070424,0.0892379260838613,12.830464605095202,0.003883052140460138,0.004378944011845988,0.008967087551610116,0.006355500413639628,-593.2356194059391,3581.079069182049,611.5226541417752,448.6862243923376,3430.0376167165746,-95.55324891639293,Vision,Movement,2
0.003,0.0064897487225815285,0.006708861421676501,75.54636208292115,63.69990268070424,0.08967430778290413,12.830604575748605,0.004021858228124339,0.004617759621010838,0.009529352042421453,0.006454276906736096,-593.2984894451841,3581.286727042172,611.5476331237232,448.57587778269533,3430.0025478510843,-95.46091530636276,Vision,Movement,2
0.004,0.006490037707301377,0.006773646871842715,75.54636208292115,63.69990268070424,0.09011200904738151,12.830730427330957,0.0041584168264031185,0.004843747700985686,0.010069138209196448,0.006546608952196913,-593.3613594844292,3581.4943849022948,611.5726121056712,448.4655311730531,3429.967478985594,-95.36858169633258,Vision,Movement,2
0.005,0.006490298206426835,0.00683736608630496,75.54636208292115,63.69990268070424,0.09055102736229018,12.830842066090717,0.00429163291986178,0.005054776904400419,0.010580956023278102,0.006631406005797565,-593.4242295236742,3581.702042762418,611.5975910876192,448.35518456341083,3429.932410120104,-95.27624808630242,Vision,Movement,2
0.006,0.006490529079804095,0.006899866682614597,75.54636208292115,63.69990268070424,0.09099136018409969,12.83093939822332,0.004420429336055121,0.0052489042227085135,0.011059559609155906,0.006707638360469016,-593.4870995629193,3581.9097006225406,611.6225700695671,448.2448379537686,3429.897341254614,-95.18391447627225,Vision,Movement,2
0.007,0.00649072990746319,0.0069610138768623426,75.54636208292115,63.69990268070424,0.0914330049416001,12.831022329873552,0.004543762453727615,0.005424413940443737,0.011500042115072518,0.0067743537742182705,-593.5499696021643,3582.117358482664,611.6475490515152,448.13449134412633,3429.8622723891235,-95.09158086624208,Vision,Movement,2
0.008,0.006490900286104611,0.007020689365140993,75.54636208292115,63.69990268070424,0.09187595903434728,12.831090767137889,0.004660638397394559,0.0055798522415355005,0.01189792730515617,0.006830693424983494,-593.6128396414093,3582.3250163427865,611.6725280334631,448.0241447344841,3429.8272035236337,-94.99924725621192,Vision,Movement,2
0.009000000000000001,0.0064910396255373195,0.0070787905305599395,75.54636208292115,63.69990268070424,0.09232021983512358,12.831144616067101,0.004770129596472289,0.005714056235650833,0.012249255554069836,0.006875907115293556,-593.6757096806543,3582.5326742029097,611.6975070154111,447.91379812484183,3429.7921346581434,-94.90691364618175,Vision,Movement,2
0.01,0.006491147107612344,0.007135229746386455,75.54636208292115,63.69990268070424,0.09276578468838513,12.831183782668303,0.004871391419217875,0.005826176453701305,0.012550662067999976,0.006909367596974835,-593.7385797198995,3582.7403320630324,611.7224859973591,447.8034515151996,3429.757065792653,-94.81458003615157,Vision,Movement,2
0.011,0.006491221701295117,0.00718993346401196,75.54636208292115,63.69990268070424,0.09321265091071648,12.83120817290758,0.004963678432183264,0.005915692216468396,0.012799445545186848,0.006930583772407402,-593.8014497591445,3582.9479899231555,611.7474649793071,447.69310490555733,3429.7219969271628,-94.7222464261214,Vision,Movement,2
0.012,0.006491262282268596,0.007242841401379194,75.54636208292115,63.69990268070424,0.09366081579088667,12.831217692712379,0.005046359688659538,0.005982419543081956,0.012993625859083015,0.0069392123674763915,-593.8643197983895,3583.1556477832783,611.772443961255,447.5827582959151,3429.686928061673,-94.62991281609123,Vision,Movement,2
0.013000000000000001,0.006491268191544111,0.007293905403256343,75.54636208292115,63.69990268070424,0.09411027659030749,12.831212247973895,0.005118932339030652,0.0060265114020934965,0.01313198954567046,0.006935067511929818,-593.9166736376947,3583.3195528632473,611.7951908543466,447.447003276097,3429.6488589944993,-94.52306668001162,Vision,Movement,2
0.014,0.006491239466446716,0.007343088455253633,75.54636208292115,63.69990268070424,0.09456103054105887,12.831191744549471,0.005181032818175043,0.006048450228772657,0.013214121918013376,0.0069181275891031626,-593.9636129523838,3583.460930746461,611.8167885015008,447.29035410929185,3429.608322765683,-94.40428643037153,Vision,Movement,2
0.015,0.006491176574333508,0.0073903640606399,75.54636208292115,63.69990268070424,0.0950130748504275,12.831156088265086,0.005232444956285952,0.006049032905731409,0.013240424750213068,0.0068885388218272,-594.0105522670729,3583.6023086296746,611.838386148655,447.13370494248676,3429.5677865368675,-94.28550618073142,Vision,Movement,2
0.016,0.0064910807489923445,0.007435715263160139,75.54636208292115,63.69990268070424,0.0954664066952488,12.83110518491775,0.0052731045769311554,0.00602934883762645,0.01321211880350474,0.006846615348797388,-594.0574915817621,3583.7436865128884,611.8599837958092,446.97705577568166,3429.527250308052,-94.16672593109132,Vision,Movement,2
0.017,0.006490953326767808,0.007479133525038754,75.54636208292115,63.69990268070424,0.0959210232264665,12.83103894027797,0.005303100422519312,0.005990752159959552,0.013131231030525279,0.00679283589453683,-594.1044308964512,3583.8850643961023,611.8815814429634,446.8204066088765,3429.486714079236,-94.04794568145121,Vision,Movement,2
0.018000000000000002,0.0064907954706395436,0.007520618034649944,75.54636208292115,63.69990268070424,0.09637692156755243,12.830957260092292,0.005322671461540835,0.00593482930985539,0.013000566951609106,0.006727837378044294,-594.1513702111403,3584.0264422793157,611.9031790901175,446.6637574420714,3429.4461778504206,-93.92916543181111,Vision,Movement,2
0.019,0.006490608115141462,0.007560175283898286,75.54636208292115,63.69990268070424,0.09683409881333128,12.830860050085418,0.005332200776636473,0.005863363142107363,0.012823669268675297,0.0066524058495896965,-594.1983095258294,3584.1678201625296,611.9247767372717,446.5071082752663,3429.405641621605,-93.810385182171,Vision,Movement,2
0.02,0.006490391963474357,0.007597818640346023,75.54636208292115,63.69990268070424,0.09729255203251679,12.830747215963152,0.0053322063537711035,0.005778294626297855,0.012604764106691292,0.0065674650201702255,-594.2452488405185,3584.3091980457434,611.9463743844259,446.35045910846117,3429.3651053927892,-93.69160493253091,Vision,Movement,2
0.021,0.006490147509143227,0.007633567272438981,75.54636208292115,63.69990268070424,0.09775227826612276,12.830618663414558,0.005323329237799601,0.005681683050255485,0.012348696299629426,0.0064740624469890404,-594.2921881552076,3584.450575928957,611.9679720315801,446.19380994165607,3429.3245691639736,-93.5728246828908,Vision,Movement,2
0.022,0.0064898751492047145,0.007667445628656463,75.54636208292115,63.69990268070424,0.09821327452793889,12.830474298114517,0.005306319656441209,0.005575665615570926,0.012060855035615749,0.006373353300179036,-594.3391274698967,3584.5919538121707,611.9895696787343,446.037160774851,3429.284032935158,-93.4540444332507,Vision,Movement,2
0.023,0.006489575713398416,0.007699482744008736,75.54636208292115,63.69990268070424,0.09867553780459684,12.83031402572635,0.0052820217786426855,0.0054624173041348,0.01174709115697798,0.00626658166893141,-594.3860667845859,3584.733331695384,612.0111673258884,445.8805116080458,3429.2434967063423,-93.33526418361059,Vision,Movement,2
0.024,0.006489250790697422,0.007729711893926427,75.54636208292115,63.69990268070424,0.09913906505604468,12.830137751903715,0.005251357735529979,0.005344111858052087,0.01141362756763851,0.006155059585300975,-594.433006099275,3584.874709578598,612.0327649730426,445.7238624412407,3429.2029604775266,-93.2164839339705,Vision,Movement,2
0.025,0.006488902354888058,0.0077581702144322645,75.54636208292115,63.69990268070424,0.09960385321353424,12.829945382293996,0.0052153114179342664,0.00522288464297999,0.011066964410260841,0.00604014422882859,-594.4799454139641,3585.016087461812,612.0543626201968,445.56721327443563,3429.162424248711,-93.09770368433038,Vision,Movement,2
0.026000000000000002,0.006488533208979793,0.007784898291148239,75.54636208292115,63.69990268070424,0.10006989918428277,12.82973682254024,0.005174912431726728,0.005100798077708694,0.010713780760231677,0.005923213966460007,-594.5268847286532,3585.1574653450252,612.075960267351,445.4105641076305,3429.1218880198953,-92.97892343469029,Vision,Movement,2
0.027,0.006488146414717971,0.007809939607632975,75.54636208292115,63.69990268070424,0.10053719984567215,12.829511978283795,0.005131220489939608,0.004979810239022825,0.010360834571018404,0.005805643943511412,-594.5738240433423,3585.298843228239,612.0975579145053,445.2539149408254,3429.0813517910797,-92.86014318505018,Vision,Movement,2
0.028,0.006487744923027658,0.007833339993949705,75.54636208292115,63.69990268070424,0.10100575204994207,12.829270755166814,0.005085310442312096,0.004861747152703082,0.010014862540007153,0.005688781911239554,-594.6207633580314,3585.440221111453,612.1191555616595,445.09726577402023,3429.040815562264,-92.74136293541008,Vision,Movement,2
0.029,0.006487331503651878,0.007855147338031773,75.54636208292115,63.69990268070424,0.10147555262256784,12.829013058835006,0.005038258081586439,0.004748279178880819,0.009682481496579892,0.005573924923371865,-594.6675294820695,3585.57878682918,612.141963851285,444.94061660721513,3429.0002793334484,-92.62258268576997,Vision,Movement,2
0.03,0.006486908738764599,0.007875411148061824,75.54636208292115,63.69990268070424,0.10194659836106684,12.828738794939207,0.004991126805818548,0.0046409017575253,0.009370092782985123,0.005462297468010282,-594.7136319172763,3585.7065759673646,612.1694114784433,444.71983982434364,3428.9597945790374,-92.43016661277119,Vision,Movement,2
0.031,0.006486479026892109,0.007894182426496595,75.54636208292115,63.69990268070424,0.10241888603760778,12.828447869139337,0.004944955174774957,0.004540920641344372,0.009083790885434779,0.005355031513134626,-594.7597343524831,3585.8343651055498,612.1968591056016,444.49547959485136,3428.919312701012,-92.23363577520502,Vision,Movement,2
0.032,0.006486044589064138,0.007911513446592716,75.54636208292115,63.69990268070424,0.10289241239738564,12.82814018710598,0.004900745388608595,0.004449441619409084,0.008829277299842444,0.0052531488188992895,-594.8058367876898,3585.962154243735,612.2243067327598,444.27111936535914,3428.8788308229873,-92.03710493763884,Vision,Movement,2
0.033,0.006485607475433259,0.007927457590193521,75.54636208292115,63.69990268070424,0.10336717415911784,12.827815654523176,0.004859452735740878,0.00436736461841185,0.008611780394006596,0.005157545734700562,-594.8519392228966,3586.08994338192,612.2517543599181,444.04675913586686,3428.8383489449625,-91.84057410007266,Vision,Movement,2
0.034,0.006485169572026399,0.007942069119770431,75.54636208292115,63.69990268070424,0.10384316801511938,12.82747417709127,0.0048219760771996845,0.00429538197540129,0.008435981839917086,0.0050689805716364585,-594.8980416581034,3586.217732520105,612.2792019870762,443.8223989063746,3428.7978670669377,-91.64404326250649,Vision,Movement,2
0.035,0.006484732607549457,0.007955402950325837,75.54636208292115,63.69990268070424,0.10432039063179172,12.827115660528213,0.004789149403368046,0.004233980615546033,0.008305950038794635,0.004988063570692261,-594.9441440933101,3586.34552165829,612.3066496142345,443.59803867688237,3428.7573851889124,-91.4475124249403,Vision,Movement,2
0.036000000000000004,0.0064842981602075325,0.00796751456977474,75.54636208292115,63.69990268070424,0.10479883864757499,12.82674001057398,0.004761734402353619,0.004183447849890503,0.008225080859270411,0.004915249489371319,-594.9902465285169,3586.4733107964753,612.3340972413928,443.3736784473901,3428.7169033108876,-91.25098158737413,Vision,Movement,2
0.037,0.006483867664510756,0.007978459800914333,75.54636208292115,63.69990268070424,0.10527850867772529,12.826347132991904,0.004740413854183052,0.0041438804999314426,0.008196046018324115,0.004850832854884698,-595.0363489637236,3586.6010999346604,612.361544868551,443.1493182178978,3428.6764214328628,-91.05445074980796,Vision,Movement,2
0.038,0.0064834424180413245,0.007988294140635198,75.54636208292115,63.69990268070424,0.10575939730837781,12.825936933571528,0.004725785579342068,0.004115197022371984,0.00822074961274884,0.0047949459227533825,-595.0824513989303,3586.7288890728455,612.3889924957093,442.9249579884056,3428.635939554838,-90.85791991224177,Vision,Movement,2
