Time,Amplitude_Envelope_P1,Amplitude_Envelope_P2,Filtered_ECG_P1,Filtered_ECG_P2,Filtered_Respiration_P1,Filtered_Respiration_P2,Filtered_EMG_Bicep_P1,Filtered_EMG_Tricep_P1,Filtered_EMG_Bicep_P2,Filtered_EMG_Tricep_P2,ConditionVision,ConditionMovement,Trial
0.0,0.0103410174584606,0.0,63.82412906657212,67.0953312831982,1.0240693845617976,4.572987389269724,0.0027721399727276,0.0011615249807857,0.0030998796797317,0.0021620704727439,Vision,NoMovement,_1
0.001,0.010345021635289192,0.0005058771698292397,63.82412906657212,67.0953312831982,1.0242175607184534,4.579911624786793,0.002977581324038184,0.0012613964549362602,0.003086156030171146,0.0022046080209638394,Vision,NoMovement,_1
0.002,0.010348992240791008,0.0010076623848328228,63.82412906657212,67.0953312831982,1.024365522689048,4.586852725911508,0.0031826133451119737,0.0013615503847296095,0.0030732286159748084,0.002247355572607168,Vision,NoMovement,_1
0.003,0.010352914364072516,0.0015037144174001188,63.82412906657212,67.0953312831982,1.0245132659736598,4.593810613968725,0.003385952947345129,0.0014612836115246199,0.0030612341029327204,0.0022900221528876497,Vision,NoMovement,_1
0.004,0.010356774866278815,0.001992601717389562,63.82412906657212,67.0953312831982,1.0246607860661094,4.60078520976543,0.003586346710003648,0.0015598937035019146,0.003050299156914274,0.0023323163620204016,Vision,NoMovement,_1
0.005,0.010360562151131854,0.0024730470000690124,63.82412906657212,67.0953312831982,1.024808078453548,4.607776433522663,0.003782589041398466,0.0016566901303328577,0.003040538000831165,0.0023739511520842436,Vision,NoMovement,_1
0.006,0.010364265350403643,0.002943917435123789,63.82412906657212,67.0953312831982,1.0249551386167188,4.614784204908638,0.003973538725394827,0.0017510053469954416,0.0030320501405201815,0.002414648824412707,Vision,NoMovement,_1
0.007,0.010367874883314457,0.003404220607912351,63.82412906657212,67.0953312831982,1.0251019620300827,4.6218084430339355,0.004158133480713996,0.0018422054990884773,0.003024918295005843,0.0024541462082673274,Vision,NoMovement,_1
0.008,0.010371382752886897,0.0038530919421836166,63.82412906657212,67.0953312831982,1.0252485441620758,4.6288490664530295,0.004335402249973946,0.001929700472165151,0.0030192065337639098,0.0024921999252452624,Vision,NoMovement,_1
0.009000000000000001,0.01037478235392858,0.004289783880321206,63.82412906657212,67.0953312831982,1.0253948804745758,4.635905993159454,0.004504474957566257,0.00201295303141096,0.003014958604484158,0.0025285915945011507,Vision,NoMovement,_1
0.01,0.010378068529029418,0.004713656527694246,63.82412906657212,67.0953312831982,1.0255409664244866,4.642979140606626,0.004664589488309793,0.0020914868261865636,0.003012196447250637,0.0025631328244035767,Vision,NoMovement,_1
0.011,0.010381236583280697,0.005124170880414193,63.82412906657212,67.0953312831982,1.025686797462009,4.650068425703038,0.004815095701510332,0.0021648930468346705,0.0030109189302963933,0.0025956698625168246,Vision,NoMovement,_1
0.012,0.01038428258804953,0.005520883490835623,63.82412906657212,67.0953312831982,1.0258323690322293,4.657173764775321,0.004955456460785802,0.002232835538760289,0.0030111008842937815,0.0026260878094313553,Vision,NoMovement,_1
0.013000000000000001,0.010387203918129688,0.005903438163530542,63.82412906657212,67.0953312831982,1.0259776765747126,4.66429507362772,0.005085245807069512,0.0022950541899404465,0.003012692537138175,0.0026543143128043016,Vision,NoMovement,_1
0.014,0.010389999234943947,0.006271560339727476,63.82412906657212,67.0953312831982,1.0261227155232422,4.671432267505218,0.005204144507480013,0.0023513664565026856,0.0030156194637457065,0.0026803226314748006,Vision,NoMovement,_1
0.015,0.010392667654308298,0.006625052904458888,63.82412906657212,67.0953312831982,1.0262674813067336,4.6785852611274645,0.005311933258301574,0.002401666970214555,0.0030197831764426464,0.0027041339072623937,Vision,NoMovement,_1
0.016,0.010395208160944098,0.006963792240335866,63.82412906657212,67.0953312831982,1.02641196934884,4.685753968651695,0.00540848388963126,0.0024459252756966537,0.0030250624746390943,0.0027258184204981086,Vision,NoMovement,_1
0.017,0.010397621036787087,0.0072877237838852894,63.82412906657212,67.0953312831982,1.026556175068213,4.692938303700351,0.005493749063173585,0.0024841818604311987,0.0030313156151114793,0.0027454955741175176,Vision,NoMovement,_1
0.018000000000000002,0.010399908152840318,0.007596855782099009,63.82412906657212,67.0953312831982,1.0267000938786317,4.700138179356328,0.005567751128132514,0.002516542749341621,0.0030383832523121373,0.0027633323813942893,Vision,NoMovement,_1
0.019,0.010402072413089714,0.007891251547387759,63.82412906657212,67.0953312831982,1.026843721189261,4.707353508158328,0.005630570928961186,0.002543173024791452,0.003046091971573397,0.002779540338035278,Vision,NoMovement,_1
0.02,0.010404116899846105,0.008171022292494117,63.82412906657212,67.0953312831982,1.0269870524041371,4.714584202128665,0.005682337366688494,0.0025642896724628263,0.003054258151048245,0.0027943707109084302,Vision,NoMovement,_1
0.021,0.010406044473879017,0.008436322826485876,63.82412906657212,67.0953312831982,1.0271300829237207,4.721830172735946,0.005723218398853063,0.002580154131169247,0.0030626918762484243,0.0028081084226620483,Vision,NoMovement,_1
0.022,0.010407858745820169,0.008687348892580356,63.82412906657212,67.0953312831982,1.0272728081432154,4.729091330923039,0.005753413964421845,0.002591064854658435,0.003071200690828024,0.0028210648093663303,Vision,NoMovement,_1
0.023,0.010409564122867934,0.00892433319700188,63.82412906657212,67.0953312831982,1.0274152234541243,4.7363675871023645,0.00577315110184458,0.0025973501121248645,0.0030795930554732816,0.0028335695593849973,Vision,NoMovement,_1
0.024,0.010411165862083061,0.009147540686352144,63.82412906657212,67.0953312831982,1.0275573242438554,4.743658851151312,0.0057826813014998256,0.002599361180521061,0.0030876814573593233,0.002845962127296909,Vision,NoMovement,_1
0.025,0.010412668861908725,0.009357265372132191,63.82412906657212,67.0953312831982,1.0276991058954792,4.750965032440324,0.005782279922950094,0.0025974660342385895,0.0030952851488139166,0.0028585828882782866,Vision,NoMovement,_1
0.026000000000000002,0.010414076511158275,0.009553828760180865,63.82412906657212,67.0953312831982,1.0278405637886237,4.758286039788894,0.005772247316771311,0.002592043614931766,0.0031022325040191943,0.00287176427509619,Vision,NoMovement,_1
0.027,0.010415390492042426,0.009737577739392754,63.82412906657212,67.0953312831982,1.0279816932990948,4.765621781526667,0.005752911144500615,0.0025834787569943333,0.0031083629769810845,0.002885822123813972,Vision,NoMovement,_1
0.028,0.010416610995835534,0.009908880330545239,63.82412906657212,67.0953312831982,1.0281224897991355,4.772972165422863,0.0057246293143068715,0.002572157828571357,0.0031135286323386176,0.0029010474341473738,Vision,NoMovement,_1
0.029,0.01041773793605784,0.010068121054371848,63.82412906657212,67.0953312831982,1.0282629486575605,4.780337098754347,0.005687792977854318,0.0025584651075769194,0.003117595223653628,0.0029176987191616385,Vision,NoMovement,_1
0.03,0.01041877127257558,0.010215697800718017,63.82412906657212,67.0953312831982,1.02840306524001,4.787716488268019,0.005642829176952785,0.0025427798567829005,0.003120442824519745,0.0029359950755441246,Vision,NoMovement,_1
