right_hand_wrist_x,right_hand_wrist_y,right_hand_wrist_z,right_hand_thumb_cmc_x,right_hand_thumb_cmc_y,right_hand_thumb_cmc_z,right_hand_thumb_mcp_x,right_hand_thumb_mcp_y,right_hand_thumb_mcp_z,right_hand_thumb_ip_x,right_hand_thumb_ip_y,right_hand_thumb_ip_z,right_hand_thumb_tip_x,right_hand_thumb_tip_y,right_hand_thumb_tip_z,right_hand_index_finger_mcp_x,right_hand_index_finger_mcp_y,right_hand_index_finger_mcp_z,right_hand_index_finger_pip_x,right_hand_index_finger_pip_y,right_hand_index_finger_pip_z,right_hand_index_finger_dip_x,right_hand_index_finger_dip_y,right_hand_index_finger_dip_z,right_hand_index_finger_tip_x,right_hand_index_finger_tip_y,right_hand_index_finger_tip_z,right_hand_middle_finger_mcp_x,right_hand_middle_finger_mcp_y,right_hand_middle_finger_mcp_z,right_hand_middle_finger_pip_x,right_hand_middle_finger_pip_y,right_hand_middle_finger_pip_z,right_hand_middle_finger_dip_x,right_hand_middle_finger_dip_y,right_hand_middle_finger_dip_z,right_hand_middle_finger_tip_x,right_hand_middle_finger_tip_y,right_hand_middle_finger_tip_z,right_hand_ring_finger_mcp_x,right_hand_ring_finger_mcp_y,right_hand_ring_finger_mcp_z,right_hand_ring_finger_pip_x,right_hand_ring_finger_pip_y,right_hand_ring_finger_pip_z,right_hand_ring_finger_dip_x,right_hand_ring_finger_dip_y,right_hand_ring_finger_dip_z,right_hand_ring_finger_tip_x,right_hand_ring_finger_tip_y,right_hand_ring_finger_tip_z,right_hand_pinky_mcp_x,right_hand_pinky_mcp_y,right_hand_pinky_mcp_z,right_hand_pinky_pip_x,right_hand_pinky_pip_y,right_hand_pinky_pip_z,right_hand_pinky_dip_x,right_hand_pinky_dip_y,right_hand_pinky_dip_z,right_hand_pinky_tip_x,right_hand_pinky_tip_y,right_hand_pinky_tip_z
-630.6648089614941,3730.897513093304,24.66229800206073,-596.0158415314072,3744.9003623898816,13.508544975812443,-568.8827403979071,3750.13980435366,-8.30642620893886,-556.0763057089814,3755.1478972159885,-34.073020712899265,-549.5342281473407,3764.408872353299,-55.90760935216479,-585.6067068227508,3736.978374977025,-44.31278755055291,-572.019369732666,3760.0296176043203,-77.3054541550086,-560.8875536424433,3777.5393244158477,-84.35976282767857,-551.9826821152585,3781.132882193145,-81.91471920646893,-604.6404570103946,3733.4895088952326,-52.07416120571627,-591.1318851525064,3759.5281130782005,-82.98604283229291,-580.88695748696,3773.482832023485,-86.47151794983758,-573.8945239460952,3777.3358602827907,-81.40988907171446,-622.0132389836406,3736.6610141574706,-54.1168807210501,-611.3360700582743,3764.894554091331,-83.40192376356748,-602.1223252327452,3777.820358013505,-84.78386404329028,-594.9328246605154,3776.898139514816,-78.76895543364111,-638.0615732204922,3746.3768192691705,-53.006633274604106,-631.1942144866398,3775.421137051004,-79.259393921995,-625.096883308697,3796.493928506294,-81.81753958521375,-619.990696861379,3801.9871385702195,-76.71641143728306
-634.5960392127281,3750.1714886739796,25.0779924955431,-599.1299022222421,3757.555664136307,16.54008988000076,-570.8068110436027,3761.1185488043716,-5.366933770365973,-556.7230188573061,3767.228786473389,-31.49677988894209,-549.5084846449331,3775.44739655984,-53.823791183571984,-583.7526504348668,3735.538953167377,-42.21884778989492,-572.3574575532509,3765.2180013238567,-76.91392022960196,-560.4550458969151,3774.092376390442,-79.97577640250178,-549.3518950953204,3764.923897867731,-73.51422088150193,-606.6615065339622,3746.990452092372,-50.68730275038672,-594.915646666574,3779.102167480539,-84.19323281018107,-584.2732412324606,3789.3830814997523,-85.44499346270392,-574.4522190377571,3783.1214804512874,-77.70956302130296,-626.236686203308,3760.4816459844324,-53.735731101287776,-616.9009743189773,3794.0715100076172,-84.7813897075937,-606.81243044271,3803.64304219543,-84.96368270615282,-596.872904497115,3796.295838101442,-77.74620376358587,-642.7098236014898,3775.3783114979983,-53.19662068407117,-636.5632781830636,3807.9592594700844,-80.68958146632465,-627.9130858468726,3820.1427188516577,-83.03055624687421,-619.1205585876239,3817.660889555575,-77.88926319963461
-634.7308249820119,3757.362365900712,25.24149204267131,-598.572083547591,3762.4506649867153,18.27754281186623,-570.268845548156,3767.0013475126552,-3.796398656449945,-555.513168431002,3773.4305112689262,-29.982177879312218,-546.8522089414417,3779.8508699201625,-51.68774276676534,-581.5976495314541,3735.8468223513964,-39.71664237856303,-570.3384651605652,3766.954803002994,-75.2449034178688,-557.4917637814931,3771.0760989867786,-76.34117346024632,-545.8026126567521,3757.0952102524725,-68.0848790342135,-606.3300618324188,3752.7339765012775,-48.77437280854975,-593.6960761795252,3784.5613376248484,-83.40068424548043,-582.3225148576227,3792.9377423602327,-83.44790131145527,-572.0079459281349,3784.1211056629895,-74.64013362378284,-626.9137181164301,3769.878570980947,-52.5566017004159,-616.6005640661856,3803.3317903313514,-84.29046921962612,-605.4699077078391,3810.8713572625056,-83.64134726614162,-594.8700489838072,3801.914490506917,-75.8900931222075,-643.5427498101367,3786.685022002921,-52.45296273395491,-636.766475425414,3819.713065043493,-80.28369742548318,-626.8246305211544,3827.54926309543,-82.18824605223473,-617.0545343852147,3822.0522747721952,-76.91927457342075
-630.2223026731864,3751.088924681114,25.237813292553593,-593.7535028766517,3757.532214622816,19.24218840987378,-566.2845528232087,3764.659368289324,-2.5684661231250554,-551.1469916924101,3770.9395319297582,-28.248648197321742,-540.4377744749469,3776.0234956824374,-48.284516938313594,-577.5559121922888,3733.826596879404,-36.675062277190754,-564.8198941061821,3764.737512965355,-72.214172676395,-550.9726742384645,3767.249691576867,-72.40700972962335,-540.3788005298768,3754.1796401324495,-63.81778413677137,-602.3817329593314,3748.524598924939,-46.42740723964784,-587.1031320031026,3777.899809143881,-80.81241787014206,-574.8301312575966,3784.882237993682,-79.79245233426758,-566.0152613155432,3777.8659843199375,-70.79050127099488,-623.1592331093586,3764.4673202503327,-50.81899060766182,-610.3297120352527,3795.6966181070634,-82.34691789224134,-598.2685359559501,3801.6870759908165,-80.50416529870066,-589.0514160035798,3793.8732659863763,-72.29719904909298,-639.9810800888715,3781.1859243702947,-51.25108373035903,-631.273329916471,3812.7861043807798,-78.51450741026905,-620.9960576671559,3819.350041039086,-79.15373959368485,-612.6129070750436,3813.921147773234,-73.11588934434897
-623.6860170046285,3739.8522600637457,26.22481400735018,-586.8093889995033,3746.2636323996408,21.69780506298296,-559.2018182844035,3753.8656657964248,1.040038302474114,-543.2196090037523,3760.2489928880727,-23.574074887016025,-530.4787754548497,3765.4866498708247,-41.87973669765718,-570.238689014006,3724.5063653004668,-32.401260131126605,-555.6957381968072,3758.1206431819733,-67.6712382192354,-541.2291643683894,3760.0560643180675,-66.60916164023516,-532.3718843760435,3747.892841962578,-57.61529943048309,-595.1717665489183,3737.9342476062793,-43.13058148645518,-577.7530986171483,3768.8098960622347,-77.0073563703419,-564.7761812321273,3773.765170325956,-74.38883430690251,-557.4135123891065,3766.522701449995,-64.93199890523861,-616.4523888363684,3754.0485260540345,-48.26739077138765,-601.3937162791148,3785.798456376261,-79.44971861483185,-588.6752673191086,3789.974847226442,-75.98314709466206,-581.0822869706625,3782.115931765059,-67.03131108466158,-633.9664618630329,3772.0489649991705,-49.53832382785036,-622.6636529879064,3802.34027246727,-75.92644693695313,-611.7053964214809,3807.2382925682896,-74.87208559048098,-604.5616522229628,3801.083041432382,-67.63436651896491
-618.690895496734,3732.1804227925504,29.730979170337694,-580.255390559057,3733.6668118662164,27.250983530639953,-550.4162697480936,3738.0602081394427,8.178119320547246,-532.9651592009084,3744.943935338211,-15.199016332060475,-518.482202914751,3750.768655202861,-32.449003110058584,-560.7608210605216,3709.2594254637675,-25.984675080021027,-543.972445899518,3745.5301220828264,-60.733848585188234,-529.3835092506109,3748.133918048818,-58.93671832760901,-521.6864458530222,3736.445019468075,-49.95633063085417,-586.6122925763053,3726.256983287288,-37.72119113923217,-567.488344498323,3759.9772101363683,-71.15852918577977,-553.6928720096524,3763.451925171977,-67.540776776311,-546.2996478463596,3754.1757946751923,-57.90765326345358,-608.842036127568,3745.889283855806,-43.68498089767809,-591.6071342496999,3778.4897445335173,-74.38483089019275,-577.8558257900858,3781.2453730914785,-70.17363492816646,-570.3805200202432,3772.2216234047714,-61.08601842922412,-627.205172066185,3766.894130869513,-45.81687995110796,-612.7623686300553,3795.0357321494107,-71.29894588308245,-600.0815350971608,3797.9544317544405,-69.66112696232764,-592.3136013227204,3790.5221748862023,-62.13291525782125
-616.3490086092911,3728.8510204459803,35.42955058408732,-575.3359984115592,3722.9714534467957,34.66357569915977,-542.1895963607477,3723.157020610001,16.701345412846877,-523.1075849724394,3730.6802748714676,-5.75425269555592,-507.3125007687745,3736.4713122295475,-22.56620168192593,-552.0761426138857,3694.130591758809,-18.29679967486685,-532.4071894136121,3729.0353845098825,-51.958328056802856,-517.6465914176428,3733.57723373641,-51.04791358988924,-509.50871830515274,3722.950428534536,-43.439054729936444,-579.0046617642506,3716.4805991037642,-30.74680811017472,-557.3047224087314,3749.04997566814,-63.27427730769488,-541.7808245485946,3751.9309069700616,-60.0813812089341,-532.6391434545662,3741.3795563993235,-51.29645263346548,-601.7683667868173,3739.7665274509345,-37.41211600048905,-581.4607076063951,3769.664289218833,-67.02947269688082,-565.5965048519216,3771.2492686667533,-63.4395415390502,-556.2470972358524,3761.019223050282,-55.32315551751256,-620.1200716021311,3762.6282236424813,-40.02693741212704,-602.3186984401784,3787.009689484471,-64.41791683922315,-587.3054231007168,3789.068519546707,-63.71758028033844,-577.2703165420248,3781.13074015097,-57.35239349126584
-614.3932259505764,3723.816960076992,41.0511784251833,-571.5656029215311,3714.1892320619586,41.19976915180744,-536.1190699877313,3713.018218797242,23.771623266348247,-515.6345518979056,3721.021585656326,1.8589480263606522,-499.37829235775666,3727.017709247204,-14.79104779189436,-545.7257156029465,3682.8508944800024,-11.666846651927164,-523.9297481358783,3714.602755150711,-44.08179902260438,-508.82867807334026,3720.944700867318,-45.07035930740261,-498.8490055280485,3710.7095759132953,-39.571798942878864,-572.8404016897819,3707.232582965615,-24.613295100277817,-548.3867897854423,3735.856921717011,-55.87537018425678,-530.6983196819717,3738.3580859376275,-54.0761715793006,-519.0350669010566,3727.3904168729446,-46.76642773512857,-595.2012968440044,3730.868955297495,-31.862234310692866,-571.978140633457,3756.6204713490383,-60.17579582569243,-553.8208526331605,3757.2461375689477,-57.80541671250101,-541.8803871487783,3746.1259708811413,-51.05305587223084,-612.5060504801621,3752.5935574809073,-34.6741194757239,-592.3460219119931,3773.753929521189,-57.95563925168362,-575.5053653754826,3775.971233541392,-58.60034551904436,-563.0339050542766,3767.9913809277837,-53.87052615104142
-609.9802825548774,3711.531037827195,45.47423608746067,-567.5787563835486,3704.95162925086,46.24323584187069,-531.7710164290082,3706.1812675377687,29.608952619068535,-510.19880934227484,3714.2359873226233,8.34357331776703,-494.5407393838407,3721.655627608937,-8.238479633388542,-540.4104841810193,3673.970525634192,-6.5054354098428675,-518.4966418032261,3704.1551907412245,-38.421176568658026,-503.92336390373214,3712.8381556833715,-41.85713588771998,-492.73796795276724,3703.9026479969566,-38.590789820250485,-566.2133755381259,3694.301374861918,-20.02435124994463,-540.7926222350433,3720.3935267898346,-50.6814081262549,-522.6443329525902,3724.8738637027946,-51.41724529673347,-509.7272624291291,3716.2154351664535,-46.1310055900622,-587.6116209148415,3714.566992668004,-27.929656197110265,-563.4290660137277,3738.381868247728,-55.80559995293212,-545.0096536417186,3741.23470890439,-55.49320321576324,-532.1690157122155,3732.810299066601,-50.39062390274487,-604.1174687822428,3733.8069932255926,-31.114372427852174,-583.347466643324,3753.680507723806,-53.931402294768574,-566.3575252615319,3757.6367285843194,-56.10942919351531,-553.1216619271775,3751.8797564976953,-53.034352077619175
-603.0808828828054,3692.7783428575267,50.34034622202317,-562.7626029544433,3692.894752035259,52.04121980440395,-527.5554885252149,3697.6927386663597,37.08604354090706,-505.16409605092065,3705.4144477370323,17.123798011259858,-490.387844145724,3714.419470440008,0.8206210042990655,-534.1710626639153,3663.8606547493278,-0.2703702558198191,-513.0622494016657,3692.512907196359,-32.345149132170974,-500.3985628602846,3705.9829534916926,-39.372477801816835,-490.2575893529751,3703.4773668288976,-39.16614941731974,-557.4613076734603,3675.902405406488,-14.468753597744085,-532.8062163289136,3700.7754099651024,-45.436841768444346,-516.8214243313158,3711.724447203149,-50.532253197791704,-505.1671993784621,3711.2512609604646,-48.62806847380564,-577.927181693928,3691.3333720047517,-23.144026277135925,-554.3043663754266,3714.085757392798,-51.67238750267919,-538.1685086277477,3723.977761085597,-55.29294840962702,-527.1042106002773,3724.829482756329,-53.121654910219235,-594.8811713661162,3709.3002688648494,-27.027394526790246,-574.2853384486637,3727.520832248441,-50.29029685321525,-558.9022769378413,3735.6524676369054,-55.214273906590776,-547.2296815252437,3737.076886149992,-54.68649860461211
